Training: 2021-10-18 11:25:57,577-rank_id: 0
Training: 2021-10-18 11:26:03,725-softmax weight init successfully!
Training: 2021-10-18 11:26:03,725-softmax weight mom init successfully!
Training: 2021-10-18 11:26:03,726-: loss                     arcface
Training: 2021-10-18 11:26:03,726-: network                  r18
Training: 2021-10-18 11:26:03,726-: resume                   False
Training: 2021-10-18 11:26:03,726-: output                   /output
Training: 2021-10-18 11:26:03,726-: dataset                  webface
Training: 2021-10-18 11:26:03,726-: embedding_size           512
Training: 2021-10-18 11:26:03,726-: sample_rate              1
Training: 2021-10-18 11:26:03,726-: fp16                     False
Training: 2021-10-18 11:26:03,726-: momentum                 0.9
Training: 2021-10-18 11:26:03,726-: weight_decay             0.0005
Training: 2021-10-18 11:26:03,726-: batch_size               64
Training: 2021-10-18 11:26:03,726-: lr                       0.1
Training: 2021-10-18 11:26:03,726-: rec                      /data
Training: 2021-10-18 11:26:03,726-: num_classes              10572
Training: 2021-10-18 11:26:03,727-: num_image                forget
Training: 2021-10-18 11:26:03,727-: num_epoch                1
Training: 2021-10-18 11:26:03,727-: warmup_epoch             -1
Training: 2021-10-18 11:26:03,727-: decay_epoch              [20, 28, 32]
Training: 2021-10-18 11:26:03,727-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2021-10-18 11:26:03,727-: warmup_step              -3832
Training: 2021-10-18 11:26:03,727-: total_step               3832
Training: 2021-10-18 11:26:03,727-: decay_step               [76659, 107323, 122655]
Training: 2021-10-18 11:27:22,568-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-18 12:10:33,605-rank_id: 0
Training: 2021-10-18 12:10:39,821-softmax weight init successfully!
Training: 2021-10-18 12:10:39,821-softmax weight mom init successfully!
Training: 2021-10-18 12:10:39,822-: loss                     arcface
Training: 2021-10-18 12:10:39,822-: network                  r18
Training: 2021-10-18 12:10:39,822-: resume                   False
Training: 2021-10-18 12:10:39,822-: output                   /output
Training: 2021-10-18 12:10:39,822-: dataset                  webface
Training: 2021-10-18 12:10:39,823-: embedding_size           512
Training: 2021-10-18 12:10:39,823-: sample_rate              1
Training: 2021-10-18 12:10:39,823-: fp16                     False
Training: 2021-10-18 12:10:39,823-: momentum                 0.9
Training: 2021-10-18 12:10:39,823-: weight_decay             0.0005
Training: 2021-10-18 12:10:39,823-: batch_size               64
Training: 2021-10-18 12:10:39,823-: lr                       0.1
Training: 2021-10-18 12:10:39,823-: rec                      /data
Training: 2021-10-18 12:10:39,823-: num_classes              10572
Training: 2021-10-18 12:10:39,823-: num_image                forget
Training: 2021-10-18 12:10:39,823-: num_epoch                1
Training: 2021-10-18 12:10:39,823-: warmup_epoch             -1
Training: 2021-10-18 12:10:39,823-: decay_epoch              [20, 28, 32]
Training: 2021-10-18 12:10:39,823-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2021-10-18 12:10:39,824-: warmup_step              -3832
Training: 2021-10-18 12:10:39,824-: total_step               3832
Training: 2021-10-18 12:10:39,824-: decay_step               [76659, 107323, 122655]
Training: 2021-10-18 12:11:58,413-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-18 12:12:27,120-Speed 439.58 samples/sec   Loss 47.2039   LearningRate 0.0250   Epoch: 0   Global Step: 100   Required: 0 hours
Training: 2021-10-18 12:12:41,839-Speed 434.90 samples/sec   Loss 46.3710   LearningRate 0.0250   Epoch: 0   Global Step: 150   Required: 0 hours
Training: 2021-10-18 12:12:56,729-Speed 429.94 samples/sec   Loss 44.8988   LearningRate 0.0250   Epoch: 0   Global Step: 200   Required: 0 hours
Training: 2021-10-18 12:13:11,787-Speed 425.10 samples/sec   Loss 44.0537   LearningRate 0.0250   Epoch: 0   Global Step: 250   Required: 0 hours
Training: 2021-10-18 12:13:26,963-Speed 421.84 samples/sec   Loss 43.4471   LearningRate 0.0250   Epoch: 0   Global Step: 300   Required: 0 hours
Training: 2021-10-18 12:13:42,168-Speed 421.00 samples/sec   Loss 42.8707   LearningRate 0.0250   Epoch: 0   Global Step: 350   Required: 0 hours
Training: 2021-10-18 12:13:57,389-Speed 420.56 samples/sec   Loss 42.2979   LearningRate 0.0250   Epoch: 0   Global Step: 400   Required: 0 hours
Training: 2021-10-18 12:14:12,575-Speed 421.56 samples/sec   Loss 41.8597   LearningRate 0.0250   Epoch: 0   Global Step: 450   Required: 0 hours
Training: 2021-10-18 12:14:27,730-Speed 422.39 samples/sec   Loss 41.3904   LearningRate 0.0250   Epoch: 0   Global Step: 500   Required: 0 hours
Training: 2021-10-18 12:14:42,929-Speed 421.19 samples/sec   Loss 40.9115   LearningRate 0.0250   Epoch: 0   Global Step: 550   Required: 0 hours
Training: 2021-10-18 12:14:58,135-Speed 420.97 samples/sec   Loss 40.6913   LearningRate 0.0250   Epoch: 0   Global Step: 600   Required: 0 hours
Training: 2021-10-18 12:15:13,359-Speed 420.51 samples/sec   Loss 40.0412   LearningRate 0.0250   Epoch: 0   Global Step: 650   Required: 0 hours
Training: 2021-10-18 12:15:28,561-Speed 421.07 samples/sec   Loss 39.7134   LearningRate 0.0250   Epoch: 0   Global Step: 700   Required: 0 hours
Training: 2021-10-18 12:15:43,757-Speed 421.27 samples/sec   Loss 39.4122   LearningRate 0.0250   Epoch: 0   Global Step: 750   Required: 0 hours
Training: 2021-10-18 12:15:58,951-Speed 421.31 samples/sec   Loss 38.8742   LearningRate 0.0250   Epoch: 0   Global Step: 800   Required: 0 hours
Training: 2021-10-18 12:16:14,168-Speed 420.68 samples/sec   Loss 38.5358   LearningRate 0.0250   Epoch: 0   Global Step: 850   Required: 0 hours
Training: 2021-10-18 12:16:29,374-Speed 420.98 samples/sec   Loss 38.3273   LearningRate 0.0250   Epoch: 0   Global Step: 900   Required: 0 hours
Training: 2021-10-18 12:16:44,572-Speed 421.23 samples/sec   Loss 38.1327   LearningRate 0.0250   Epoch: 0   Global Step: 950   Required: 0 hours
Training: 2021-10-18 12:16:59,772-Speed 421.15 samples/sec   Loss 37.7118   LearningRate 0.0250   Epoch: 0   Global Step: 1000   Required: 0 hours
Training: 2021-10-18 12:17:14,980-Speed 420.91 samples/sec   Loss 37.1091   LearningRate 0.0250   Epoch: 0   Global Step: 1050   Required: 0 hours
Training: 2021-10-18 12:17:30,194-Speed 420.75 samples/sec   Loss 36.8448   LearningRate 0.0250   Epoch: 0   Global Step: 1100   Required: 0 hours
Training: 2021-10-18 12:17:45,394-Speed 421.16 samples/sec   Loss 36.6145   LearningRate 0.0250   Epoch: 0   Global Step: 1150   Required: 0 hours
Training: 2021-10-18 12:18:00,591-Speed 421.24 samples/sec   Loss 36.2254   LearningRate 0.0250   Epoch: 0   Global Step: 1200   Required: 0 hours
Training: 2021-10-18 12:18:15,789-Speed 421.19 samples/sec   Loss 35.8648   LearningRate 0.0250   Epoch: 0   Global Step: 1250   Required: 0 hours
Training: 2021-10-18 12:18:31,016-Speed 420.41 samples/sec   Loss 35.6042   LearningRate 0.0250   Epoch: 0   Global Step: 1300   Required: 0 hours
Training: 2021-10-18 12:18:46,218-Speed 421.10 samples/sec   Loss 35.2805   LearningRate 0.0250   Epoch: 0   Global Step: 1350   Required: 0 hours
Training: 2021-10-18 12:19:01,408-Speed 421.42 samples/sec   Loss 34.6892   LearningRate 0.0250   Epoch: 0   Global Step: 1400   Required: 0 hours
Training: 2021-10-18 12:19:16,612-Speed 421.04 samples/sec   Loss 34.4569   LearningRate 0.0250   Epoch: 0   Global Step: 1450   Required: 0 hours
Training: 2021-10-18 12:19:31,820-Speed 420.91 samples/sec   Loss 34.3431   LearningRate 0.0250   Epoch: 0   Global Step: 1500   Required: 0 hours
Training: 2021-10-18 12:19:47,036-Speed 420.72 samples/sec   Loss 33.9154   LearningRate 0.0250   Epoch: 0   Global Step: 1550   Required: 0 hours
Training: 2021-10-18 12:20:02,242-Speed 420.98 samples/sec   Loss 33.7181   LearningRate 0.0250   Epoch: 0   Global Step: 1600   Required: 0 hours
Training: 2021-10-18 12:20:17,434-Speed 421.38 samples/sec   Loss 33.5849   LearningRate 0.0250   Epoch: 0   Global Step: 1650   Required: 0 hours
Training: 2021-10-18 12:20:32,633-Speed 421.19 samples/sec   Loss 33.1086   LearningRate 0.0250   Epoch: 0   Global Step: 1700   Required: 0 hours
Training: 2021-10-18 12:20:47,865-Speed 420.27 samples/sec   Loss 32.8602   LearningRate 0.0250   Epoch: 0   Global Step: 1750   Required: 0 hours
Training: 2021-10-18 12:21:03,063-Speed 421.20 samples/sec   Loss 32.6323   LearningRate 0.0250   Epoch: 0   Global Step: 1800   Required: 0 hours
Training: 2021-10-18 12:21:18,265-Speed 421.08 samples/sec   Loss 32.0894   LearningRate 0.0250   Epoch: 0   Global Step: 1850   Required: 0 hours
Training: 2021-10-18 12:21:33,464-Speed 421.18 samples/sec   Loss 31.9203   LearningRate 0.0250   Epoch: 0   Global Step: 1900   Required: 0 hours
Training: 2021-10-18 12:21:48,677-Speed 420.80 samples/sec   Loss 31.7089   LearningRate 0.0250   Epoch: 0   Global Step: 1950   Required: 0 hours
Training: 2021-10-18 12:22:03,891-Speed 420.75 samples/sec   Loss 31.3754   LearningRate 0.0250   Epoch: 0   Global Step: 2000   Required: 0 hours
Training: 2021-10-18 12:22:46,242-[lfw][2000]XNorm: 23.960563
Training: 2021-10-18 12:22:46,242-[lfw][2000]Accuracy-Flip: 0.91300+-0.01475
Training: 2021-10-18 12:22:46,242-[lfw][2000]Accuracy-Highest: 0.91300
Training: 2021-10-18 12:23:35,003-[cfp_fp][2000]XNorm: 23.715317
Training: 2021-10-18 12:23:35,003-[cfp_fp][2000]Accuracy-Flip: 0.65129+-0.01591
Training: 2021-10-18 12:23:35,003-[cfp_fp][2000]Accuracy-Highest: 0.65129
Training: 2021-10-18 12:24:17,259-[agedb_30][2000]XNorm: 20.150345
Training: 2021-10-18 12:24:17,259-[agedb_30][2000]Accuracy-Flip: 0.66100+-0.02249
Training: 2021-10-18 12:24:17,259-[agedb_30][2000]Accuracy-Highest: 0.66100
